,AL8888.XSGE,CU8888.XSGE,C8888.XDCE,J8888.XDCE,FU8888.XSGE,HC8888.XSGE,I8888.XDCE,MA8888.XZCE,M8888.XDCE,P8888.XDCE,PP8888.XDCE,RB8888.XSGE,RU8888.XSGE,SM8888.XZCE,SR8888.XZCE,TA8888.XZCE,Y8888.XDCE,ZN8888.XSGE
AL8888.XSGE,0.029548738075579513,0.021188949844487104,-0.011015112940344747,0.016987649371048866,0.01362517060188877,0.017849272236501852,0.006773939313440573,0.014093732801668042,0.0001550439346339389,0.021838414832926492,0.011566989904354187,0.021877793350476852,0.020014744801142452,0.0138560112847754,-0.009498291209828523,0.021433697068280463,0.014775390241635525,0.01046764127122434
CU8888.XSGE,0.021188949844487104,0.03260777917877885,0.014665068504188887,0.018963252688923012,0.025592412938885117,0.01893319303699583,0.00988351281324887,0.015277845732644053,0.012147889632804828,0.024652085045601707,0.013584580383783807,0.027703026985518946,0.026861562560651423,0.015089395406378506,0.0022117371345813487,0.02570806442004692,0.01888306083830089,0.01140858255298909
C8888.XDCE,-0.011015112940344747,0.014665068504188887,0.06896390218661134,-0.004076317455272866,0.029928340992411144,-0.007953015984135116,0.01681349933497038,0.0037968612863760985,0.02918300849317942,0.012353472191433082,0.014944986643468171,0.011762149489363608,0.016870482605616743,-0.005810543868275081,0.017341834725222147,0.015886844876076923,0.01566847685494016,-0.012321876388139186
J8888.XDCE,0.016987649371048866,0.018963252688923012,-0.004076317455272866,0.05424521190341167,0.018661516797980962,0.058984335386200126,0.020506547108372315,0.03199872854954805,0.00718966767782637,0.010964412607834356,0.019971121912957013,0.04414826012881667,0.014891842318698022,0.05339314663967203,0.010996678872009823,0.016695661550444607,0.011067873529867555,0.018230486886802375
FU8888.XSGE,0.01362517060188877,0.025592412938885117,0.029928340992411144,0.018661516797980962,0.05127096707275912,0.017073681927183105,0.009610595525323467,0.026463953457107763,0.025994258251692264,0.034182379808961515,0.022322949885156953,0.03664671024289353,0.034659329777195796,0.012925233823323895,0.011834553768879845,0.03478148256843653,0.03095835301175604,-0.0007423370322601417
HC8888.XSGE,0.017849272236501852,0.01893319303699583,-0.007953015984135116,0.058984335386200126,0.017073681927183105,0.06161068758090093,0.027837758335523998,0.03706554185609818,0.011521754265979085,0.0032222389079716533,0.030684078527363316,0.04840553547489035,0.003905930331773662,0.05040819285038215,0.0017821483623278933,0.011834994248890816,0.0024796433172979923,0.028895210964317877
I8888.XDCE,0.006773939313440573,0.00988351281324887,0.01681349933497038,0.020506547108372315,0.009610595525323467,0.027837758335523998,0.04516277363022835,0.009546745959846312,0.014082601613676164,0.005653083233537982,0.018183280980883842,0.024730381827098278,0.006799832649588951,0.021208158146218334,-0.008215053188723164,0.010674800639274989,0.005717451385133695,0.0011170838341203586
MA8888.XZCE,0.014093732801668042,0.015277845732644053,0.0037968612863760985,0.03199872854954805,0.026463953457107763,0.03706554185609818,0.009546745959846312,0.04763847066280527,0.011157458597011487,0.0031110349420316644,0.03813197455753662,0.02763721057799017,0.006598841073115192,0.03340942810104463,0.0001491245380849102,0.016030012181195055,0.0020307112077543087,0.021879720372585853
M8888.XDCE,0.0001550439346339389,0.012147889632804828,0.02918300849317942,0.00718966767782637,0.025994258251692264,0.011521754265979085,0.014082601613676164,0.011157458597011487,0.03145033805314403,0.02059838614958694,0.017344683568736342,0.01514825368623547,0.01532799234219633,0.01063904487095069,0.006381394171130109,0.01718115648902453,0.02260093109545249,-0.002454617008582836
P8888.XDCE,0.021838414832926492,0.024652085045601707,0.012353472191433082,0.010964412607834356,0.034182379808961515,0.0032222389079716533,0.005653083233537982,0.0031110349420316644,0.02059838614958694,0.03870264307894205,0.004186746308433311,0.02599168489002605,0.03611658390260998,0.0010444740458767003,0.005864198754973563,0.030053554833324853,0.0363510773738747,-0.0010936038580115681
PP8888.XDCE,0.011566989904354187,0.013584580383783807,0.014944986643468171,0.019971121912957013,0.022322949885156953,0.030684078527363316,0.018183280980883842,0.03813197455753662,0.017344683568736342,0.004186746308433311,0.04378528789584214,0.022371043663365647,0.005921796851637377,0.029059316181138863,-0.006694695559715393,0.01640020631900855,0.0036082173258132773,0.012809013809803215
RB8888.XSGE,0.021877793350476852,0.027703026985518946,0.011762149489363608,0.04414826012881667,0.03664671024289353,0.04840553547489035,0.024730381827098278,0.02763721057799017,0.01514825368623547,0.02599168489002605,0.022371043663365647,0.05189062582026741,0.03536649458595877,0.04013543662978727,0.008919877627003133,0.03483330481748304,0.0253001947310265,0.0070176912277360335
RU8888.XSGE,0.020014744801142452,0.026861562560651423,0.016870482605616743,0.014891842318698022,0.034659329777195796,0.003905930331773662,0.006799832649588951,0.006598841073115192,0.01532799234219633,0.03611658390260998,0.005921796851637377,0.03536649458595877,0.038499971700262835,0.0025732134136455752,0.011015116447623078,0.034894657071476175,0.029492333147433478,-0.0005171042433502577
SM8888.XZCE,0.0138560112847754,0.015089395406378506,-0.005810543868275081,0.05339314663967203,0.012925233823323895,0.05040819285038215,0.021208158146218334,0.03340942810104463,0.01063904487095069,0.0010444740458767003,0.029059316181138863,0.04013543662978727,0.0025732134136455752,0.051233588745413006,-0.0004570466397651551,0.011751493987241731,0.0010648555790981136,0.024446785039688574
SR8888.XZCE,-0.009498291209828523,0.0022117371345813487,0.017341834725222147,0.010996678872009823,0.011834553768879845,0.0017821483623278933,-0.008215053188723164,0.0001491245380849102,0.006381394171130109,0.005864198754973563,-0.006694695559715393,0.008919877627003133,0.011015116447623078,-0.0004570466397651551,0.04786266674279813,0.0006588137593185232,0.004866364910170662,0.005783705629402731
TA8888.XZCE,0.021433697068280463,0.02570806442004692,0.015886844876076923,0.016695661550444607,0.03478148256843653,0.011834994248890816,0.010674800639274989,0.016030012181195055,0.01718115648902453,0.030053554833324853,0.01640020631900855,0.03483330481748304,0.034894657071476175,0.011751493987241731,0.0006588137593185232,0.036263880298218434,0.02807366151664164,0.0007689772329236682
Y8888.XDCE,0.014775390241635525,0.01888306083830089,0.01566847685494016,0.011067873529867555,0.03095835301175604,0.0024796433172979923,0.005717451385133695,0.0020307112077543087,0.02260093109545249,0.0363510773738747,0.0036082173258132773,0.0253001947310265,0.029492333147433478,0.0010648555790981136,0.004866364910170662,0.02807366151664164,0.033994247428697354,-0.0017301416520771348
ZN8888.XSGE,0.01046764127122434,0.01140858255298909,-0.012321876388139186,0.018230486886802375,-0.0007423370322601417,0.028895210964317877,0.0011170838341203586,0.021879720372585853,-0.002454617008582836,-0.0010936038580115681,0.012809013809803215,0.0070176912277360335,-0.0005171042433502577,0.024446785039688574,0.005783705629402731,0.0007689772329236682,-0.0017301416520771348,0.02501176560048503
